baris_id;teks_aksara;transliterasi;terjemahan;;;;
B001;;Om;Wighnam;;;;
B002;;astu;semoga;;;;
B003;;nama;nama;;;;
B004;;siddham;berhasil;;;;
B005;;Pangaksamaning;Pengampunan;;;;
B006;;hulun;hamba;;;;
B007;;ri;pada;;;;
B008;;Bhatara;Dewa;;;;
B009;;Hyang;Tuhan;;;;
B010;;Mami;saya;;;;
B011;;sang;yang;;;;
B012;;ginlaring;dilahirkan;;;;
B013;;sarining;inti;;;;
B014;;ongkaratna;Ongkara Ratna;;;;
B015;;mantram;mantra;;;;
B016;;sira;beliau;;;;
B017;;anugraha;anugerah;;;;
B018;;ring;pada;;;;
B019;;hana;ada;;;;
B020;;waka;kisah;;;;
B021;;purwwa;lampau;;;;
B022;;nira;beliau;;;;
B023;;sang;yang;;;;
B024;;wus;sudah;;;;
B025;;lepas;lepas;;;;
B026;;luputa;terhindar;;;;
B027;;mami;saya;;;;
B028;;ring;dari;;;;
B029;;tulah;cacat;;;;
B030;;pamidhi;dosa;;;;
B031;;mwang;dan;;;;
B032;;sawigrahaning;kesalahan;;;;
B033;;mala;kotor;;;;
B034;;papa;dosa;;;;
B035;;pataka;petaka;;;;
B036;;tan;tidak;;;;
B037;;katamana;terkena;;;;
B038;;ring;pada;;;;
B039;;upadrawa;gangguan;;;;
B040;;de;tuan;;;;
B041;;Bhatara;Dewa;;;;
B042;;Hyang;Tuhan;;;;
B043;;Mami;saya;;;;
B044;;wastu;semoga;;;;
B045;;paripurna;sampurna;;;;
B046;;anemuaken;mendapatkan;;;;
B047;;hayu;kebaikan;;;;
B048;;dhirgha;panjang;;;;
B049;;yusa;umur;;;;
B050;;tkeng;bagi;;;;
B051;;kula;saya;;;;
B052;;gotra;keluarga;;;;
B053;;santana;keterunan;;;;
B054;;namos;hormat;;;;
B055;;jagaddhita;kesejahteraan dunia;;;;
B056;;ya;itulah;;;;
B057;;Ring;pada;;;;
B058;;purwwa;kala;;;;
B059;;kala;waktu;;;;
B060;;hana;ada;;;;
B061;;maya;ilusi;;;;
B062;;sakti;kekuatan;;;;
