baris_id;teks_aksara;transliterasi;terjemahan;teks_aksara_fixed
B001;ꦎm;Om;Wighnam;ꦎꦩ꧀
B002;ꦄstꦈ;astu;semoga;ꦄꦱ꧀ꦠꦸ
B003;ꦤꦩ;nama;nama;ꦤꦩ
B004;sꦆddꦲm;siddham;berhasil;ꦱꦶꦢ꧀ꦝꦩ꧀
B005;ꦥꦔkꦱꦩnꦆng;Pangaksamaning;Pengampunan;ꦥꦔꦏ꧀ꦱꦩꦤꦶꦔ꧀
B006;hꦈlꦈn;hulun;hamba;ꦲꦸꦭꦸꦤ꧀
B007;rꦆ;ri;pada;ꦫꦶ
B008;bꦲꦠꦫ;Bhatara;Dewa;ꦧ꧀ꦲꦠꦫ
B009;hꦪng;Hyang;Tuhan;ꦲ꧀ꦪꦔ꧀
B010;ꦩmꦆ;Mami;saya;ꦩꦩꦶ
B011;ꦱng;sang;yang;ꦱꦔ꧀
B012;gꦆnꦭrꦆng;ginlaring;dilahirkan;ꦒꦶꦤ꧀ꦭꦫꦶꦔ꧀
B013;ꦱrꦆnꦆng;sarining;inti;ꦱꦫꦶꦤꦶꦔ꧀
B014;ꦎngꦏꦫtꦤ;ongkaratna;Ongkara Ratna;ꦎꦔ꧀ꦏꦫꦠ꧀ꦤ
B015;ꦩntꦫm;mantram;mantra;ꦩꦤ꧀ꦠ꧀ꦫꦩ꧀
B016;sꦆꦫ;sira;beliau;ꦱꦶꦫ
B017;ꦄnꦈgꦫꦲ;anugraha;anugerah;ꦄꦤꦸꦒ꧀ꦫꦲ
B018;rꦆng;ring;pada;ꦫꦶꦔ꧀
B019;ꦲꦤ;hana;ada;ꦲꦤ
B020;ꦮꦏ;waka;kisah;ꦮꦏ
B021;pꦈrwꦮ;purwwa;lampau;ꦥꦸꦫ꧀ꦮ꧀ꦮ
B022;nꦆꦫ;nira;beliau;ꦤꦶꦫ
B023;ꦱng;sang;yang;ꦱꦔ꧀
B024;wꦈs;wus;sudah;ꦮꦸꦱ꧀
B025;lꦌꦥs;lepas;lepas;ꦭꦺꦥꦱ꧀
B026;lꦈpꦈꦠ;luputa;terhindar;ꦭꦸꦥꦸꦠ
B027;ꦩmꦆ;mami;saya;ꦩꦩꦶ
B028;rꦆng;ring;dari;ꦫꦶꦔ꧀
B029;tꦈꦭh;tulah;cacat;ꦠꦸꦭꦲ꧀
B030;ꦥmꦆdhꦆ;pamidhi;dosa;ꦥꦩꦶꦝꦶ
B031;mꦮng;mwang;dan;ꦩ꧀ꦮꦔ꧀
B032;ꦱwꦆgꦫꦲnꦆng;sawigrahaning;kesalahan;ꦱꦮꦶꦒ꧀ꦫꦲꦤꦶꦔ꧀
B033;ꦩꦭ;mala;kotor;ꦩꦭ
B034;ꦥꦥ;papa;dosa;ꦥꦥ
B035;ꦥꦠꦏ;pataka;petaka;ꦥꦠꦏ
B036;ꦠn;tan;tidak;ꦠꦤ꧀
B037;ꦏꦠꦩꦤ;katamana;terkena;ꦏꦠꦩꦤ
B038;rꦆng;ring;pada;ꦫꦶꦔ꧀
B039;ꦈꦥdꦫꦮ;upadrawa;gangguan;ꦈꦥꦢ꧀ꦫꦮ
B040;dꦌ;de;tuan;ꦢꦺ
B041;bꦲꦠꦫ;Bhatara;Dewa;ꦧ꧀ꦲꦠꦫ
B042;hꦪng;Hyang;Tuhan;ꦲ꧀ꦪꦔ꧀
B043;ꦩmꦆ;Mami;saya;ꦩꦩꦶ
B044;ꦮstꦈ;wastu;semoga;ꦮꦱ꧀ꦠꦸ
B045;ꦥrꦆpꦈrꦤ;paripurna;sampurna;ꦥꦫꦶꦥꦸꦫ꧀ꦤ
B046;ꦄnꦌmꦈꦄkꦌn;anemuaken;mendapatkan;ꦄꦤꦺꦩꦸꦄꦏꦺꦤ꧀
B047;ꦲyꦈ;hayu;kebaikan;ꦲꦪꦸ
B048;dhꦆrgꦲ;dhirgha;panjang;ꦝꦶꦫ꧀ꦒ꧀ꦲ
B049;yꦈꦱ;yusa;umur;ꦪꦸꦱ
B050;tkꦌng;tkeng;bagi;ꦠ꧀ꦏꦺꦔ꧀
B051;kꦈꦭ;kula;saya;ꦏꦸꦭ
B052;gꦎtꦫ;gotra;keluarga;ꦒꦼꦠ꧀ꦫ
B053;ꦱnꦠꦤ;santana;keterunan;ꦱꦤ꧀ꦠꦤ
B054;ꦤmꦎs;namos;hormat;ꦤꦩꦼꦱ꧀
B055;ꦗꦒddhꦆꦠ;jagaddhita;kesejahteraan dunia;ꦗꦒꦢ꧀ꦝꦶꦠ
B056;ꦪ;ya;itulah;ꦪ
B057;rꦆng;Ring;pada;ꦫꦶꦔ꧀
B058;pꦈrwꦮ;purwwa;kala;ꦥꦸꦫ꧀ꦮ꧀ꦮ
B059;ꦏꦭ;kala;waktu;ꦏꦭ
B060;ꦲꦤ;hana;ada;ꦲꦤ
B061;ꦩꦪ;maya;ilusi;ꦩꦪ
B062;ꦱktꦆ;sakti;kekuatan;ꦱꦏ꧀ꦠꦶ
