baris_id;teks_aksara;transliterasi;terjemahan
B001;ꦎꦩ꧀;Om;Wighnam
B002;ꦄꦱ꧀ꦠꦸ;astu;semoga
B003;ꦤꦩ;nama;nama
B004;ꦱꦶꦢ꧀ꦝꦩ꧀;siddham;berhasil
B005;ꦥꦔꦏ꧀ꦱꦩꦤꦶꦔ꧀;Pangaksamaning;Pengampunan
B006;ꦲꦸꦭꦸꦤ꧀;hulun;hamba
B007;ꦫꦶ;ri;pada
B008;ꦧ꧀ꦲꦠꦫ;Bhatara;Dewa
B009;ꦲ꧀ꦪꦔ꧀;Hyang;Tuhan
B010;ꦩꦩꦶ;Mami;saya
B011;ꦱꦔ꧀;sang;yang
B012;ꦒꦶꦤ꧀ꦭꦫꦶꦔ꧀;ginlaring;dilahirkan
B013;ꦱꦫꦶꦤꦶꦔ꧀;sarining;inti
B014;ꦎꦔ꧀ꦏꦫꦠ꧀ꦤ;ongkaratna;Ongkara Ratna
B015;ꦩꦤ꧀ꦠ꧀ꦫꦩ꧀;mantram;mantra
B016;ꦱꦶꦫ;sira;beliau
B017;ꦄꦤꦸꦒ꧀ꦫꦲ;anugraha;anugerah
B018;ꦫꦶꦔ꧀;ring;pada
B019;ꦲꦤ;hana;ada
B020;ꦮꦏ;waka;kisah
B021;ꦥꦸꦫ꧀ꦮ꧀ꦮ;purwwa;lampau
B022;ꦤꦶꦫ;nira;beliau
B023;ꦱꦔ꧀;sang;yang
B024;ꦮꦸꦱ꧀;wus;sudah
B025;ꦭꦺꦥꦱ꧀;lepas;lepas
B026;ꦭꦸꦥꦸꦠ;luputa;terhindar
B027;ꦩꦩꦶ;mami;saya
B028;ꦫꦶꦔ꧀;ring;dari
B029;ꦠꦸꦭꦲ꧀;tulah;cacat
B030;ꦥꦩꦶꦝꦶ;pamidhi;dosa
B031;ꦩ꧀ꦮꦔ꧀;mwang;dan
B032;ꦱꦮꦶꦒ꧀ꦫꦲꦤꦶꦔ꧀;sawigrahaning;kesalahan
B033;ꦩꦭ;mala;kotor
B034;ꦥꦥ;papa;dosa
B035;ꦥꦠꦏ;pataka;petaka
B036;ꦠꦤ꧀;tan;tidak
B037;ꦏꦠꦩꦤ;katamana;terkena
B038;ꦫꦶꦔ꧀;ring;pada
B039;ꦈꦥꦢ꧀ꦫꦮ;upadrawa;gangguan
B040;ꦢꦺ;de;tuan
B041;ꦧ꧀ꦲꦠꦫ;Bhatara;Dewa
B042;ꦲ꧀ꦪꦔ꧀;Hyang;Tuhan
B043;ꦩꦩꦶ;Mami;saya
B044;ꦮꦱ꧀ꦠꦸ;wastu;semoga
B045;ꦥꦫꦶꦥꦸꦫ꧀ꦤ;paripurna;sampurna
B046;ꦄꦤꦺꦩꦸꦄꦏꦺꦤ꧀;anemuaken;mendapatkan
B047;ꦲꦪꦸ;hayu;kebaikan
B048;ꦝꦶꦫ꧀ꦒ꧀ꦲ;dhirgha;panjang
B049;ꦪꦸꦱ;yusa;umur
B050;ꦠ꧀ꦏꦺꦔ꧀;tkeng;bagi
B051;ꦏꦸꦭ;kula;saya
B052;ꦒꦼꦠ꧀ꦫ;gotra;keluarga
B053;ꦱꦤ꧀ꦠꦤ;santana;keterunan
B054;ꦤꦩꦼꦱ꧀;namos;hormat
B055;ꦗꦒꦢ꧀ꦝꦶꦠ;jagaddhita;kesejahteraan dunia
B056;ꦪ;ya;itulah
B057;ꦫꦶꦔ꧀;Ring;pada
B058;ꦥꦸꦫ꧀ꦮ꧀ꦮ;purwwa;kala
B059;ꦏꦭ;kala;waktu
B060;ꦲꦤ;hana;ada
B061;ꦩꦪ;maya;ilusi
B062;ꦱꦏ꧀ꦠꦶ;sakti;kekuatan
